Date,City,Country,Perpetrator,Weapon,Injuries,Fatalities,Description
09-Feb-68,Buenos Aires,Argentina,Unknown,Firearms,0,0,ARGENTINA.  The second floor of the U.S. embassy residence was struck by fifteen 9-mm machine-gun slugs fired from a passing automobile during the early morning hours.
12-Feb-68,Santo Domingo,Dominican Republic,Unknown,Explosives,0,0,DOMINICAN REPUBLIC.  A homemade bomb was found behind books on the bookshelf in the USIS Lincoln Library in Santo Domingo.
13-Feb-68,Montevideo,Uruguay,Unknown,Fire or Firebomb,0,0,URUGUAY.  A Molotov cocktail was thrown outside the U.S. labor exhibit in Montevideo.  Limited damage.
20-Feb-68,Santiago,Chile,Unknown,Explosives,0,0,"CHILE.  An explosion from a single stick of dynamite went off on the patio of the Santiago Binational Center, causing $21,000 in damages."
21-Feb-68,"Washington, D.C.",United States,Unknown,Explosives,0,0,"UNITED STATES.  The Soviet embassy was bombed in the early morning. The bomb was placed by unknown individuals on the window sill of a ground floor office, which suffered considerable damage. There were no injuries."
21-Feb-68,Neot Hakikar,Israel,Unknown,Unknown,0,0,"ISRAEL.  Palestinian terrorists damaged a pipeline in the vicinity of Neot Hakikar, south of the Dead Sea."
22-Feb-68,Quito,Ecuador,Unknown,Explosives,0,0,"ECUADOR.  A bomb exploded in the Quito Binational Center, causing extensive damage to three basement rooms."
24-Feb-68,Masada,Israel,Other,Explosives,0,0,"ISRAEL.  Palestinian terrorists fired five mortar shells into the collective settlement at Masada, causing slight damage but no injuries."
05-Mar-68,Riohacha,Colombia,National Liberation Army of Colombia (ELN),Unknown,0,0,"COLOMBIA.  Three members of the Ejercito de Liberacion Nacional (ELN) hijacked a Colombian Avianca Airlines DC-4 plane with 28 passengers and 3 crewmen and ordered it flown to Cuba.  The plane, en route from Riohacha to Barranquilla, Colombia, was diverted and forced to fly to Santiago de Cuba.  Colombian guerrilla leader Ricardo Lara Parada was reported aboard the plane.  Lara was connected with the National Liberation Army, a pro-Castro guerrilla group operating in Colombia.  The plane and its passengers were returned to Colombia on March 6."
08-Mar-68,Rosario,Argentina,Frente de Liberacion Nacional del Vietnam del Sur,Firearms,0,0,ARGENTINA.  The USIS office in Rosario was machine-gunned presumably by a taxi that had been seen in the area.  A note left by the attackers identified themselves as the Frente de Liberacion Nacional del Vietnam del Sur.
12-Mar-68,Santiago,Chile,Unknown,Explosives,0,0,"CHILE.  A homemade bomb exploded in the women's restroom on the second floor of the U.S. consulate outside the USIS offices in Santiago, causing extensive damage."
12-Mar-68,Guatemala City,Guatemala,Unknown,Explosives,0,0,"GUATEMALA.  A bomb was thrown over the wall surrounding the U.S. Marines guards house in Guatemala City, causing damage but no injuries."
15-Mar-68,Klagenfurt,Austria,Other,Explosives,0,0,AUSTRIA.  A time bomb believed to have been planted by Croatian terrorists was disarmed at the Yugoslav consulate in Klagenfurt.
16-Mar-68,Santiago,Chile,Unknown,Explosives,0,0,CHILE.  The U.S. Cultural Center in Santiago was bombed by a device believed to be composed of three dynamite sticks. No injuries resulted.
18-Mar-68,Paris,France,Other,Explosives,0,0,FRANCE.  Five French students bombed the Paris offices of Trans-World Airways before dawn.  The Chase Manhattan Bank and the Bank of America were also bombed.  They claimed to be protesting the U.S. involvement in the Vietnam war.
18-Mar-68,Paris,France,Other,Explosives,0,0,FRANCE.  Five French students bombed the Paris offices of   Chase Manhattan Bank before dawn.  Trans-World Airways and the Bank of America were also bombed.   They claimed to be protesting the U.S. involvement in the Vietnam war.
18-Mar-68,Paris,France,Other,Explosives,0,0,FRANCE.  Five French students bombed the Paris offices of   Bank of America a couple of hours before dawn.   Trans-World Airways and Chase Manhattan Bank were also bombed.  They claimed to be protesting the U.S. involvement in the Vietnam war.
18-Mar-68,Elat,Israel,al-Fatah,Explosives,28,2,"ISRAEL.  A bus carrying schoolchildren from Tel Aviv on a trip to the Negev Desert was blown up when it hit a mine planted by Al Fatah twelve miles north of Elat.  Two Israeli adults were killed and twenty-eight children injured in the blast.  The Israelis retaliated by attacking the village of Karameh, which was believed to be a major Fatah base in Jordan. One hundred fifty guerrillas were killed another 150 captured by the Israelis, who lost 29 dead and 70 wounded.  The Jordanians intervened with tanks, and the Israelis retreated.  The Palestinians have since viewed this engagement as a major victory."
19-Mar-68,Sao Paulo,Brazil,Unknown,Explosives,3,0,"BRAZIL.  A large bomb exploded in the USIS library in Sao Paulo, damaging one-quarter of the premises and injuring three young Brazilians."
19-Mar-68,Miami,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES - Unidentified anti-Castro Cubans attempted to bomb the Miami branch of the Spanish National Tourist Office.
24-Mar-68,Graz,Austria,Other,Explosives,0,0,AUSTRIA.  A time bomb believed to have been planted by Croatian terrorists exploded at the Yugoslav consulate at Graz.
25-Mar-68,Madrid,Spain,Unknown,Explosives,0,0,"SPAIN.  A bomb exploded in the U.S. embassy, breaking windows in the building and those of a car belonging to a defense attache."
13-Apr-68,Ottawa,Canada,Other,Explosives,0,0,CANADA.  Two time bombs exploded at the Yugoslav embassy in Ottawa. Croatian terrorists were believed to be responsible.
22-Apr-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Mexican mission to the United States was bombed by El Poder Cubano.
22-Apr-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Spanish National Tourist Office in New York City was bombed by El Poder Cubano.
29-Apr-68,Recife,Brazil,Unknown,Fire or Firebomb,0,0,BRAZIL.  A Molotov cocktail was thrown onto the property of the U.S. consulate general in Recife.  The bomb fell short of the building and burned a small garden area.
29-Apr-68,Santiago de Los Caballeros,Dominican Republic,Unknown,Explosives,0,0,DOMINICAN REPUBLIC.  Police removed and disarmed a time bomb placed in the bathroom of the Binational Center in Santiago de los Caballeros.
02-May-68,Montevideo,Uruguay,Unknown,Fire or Firebomb,0,0,URUGUAY.  An unexploded Molotov cocktail was found on the steps of the Binational Center building in Montevideo.
